"sr_id";"sr_fk_marca";"sr_nombre"
262;3;"RAPTOR"
263;28;"E20"
264;10;"BYD -EB"
265;4;"ESTEEM L "
266;1;"SORETO"
267;17;"JAC"
268;2;"SCALA"
269;11;"I35"
270;10;"SKODA OCTAVIA"
271;4;"SONIC LT"
272;5;"3"
273;5;"6"
274;10;"SUBARU FORESTER"
275;8;"V-DRIVE"
276;28;"118 I"
277;9;"XL7"
278;11;"CRETA"
279;28;"420I"
280;20;"A200"
281;8;"MICRA"
282;15;"COMPASS"
283;1;"STONIC"
284;28;"320I"
285;6;"BEETLE"
286;20;"GLA200"
287;20;"CLA"
288;1;"SEDONA"
289;20;"CLA 200"
290;20;"E200"
291;20;"GLD250D"
292;20;"CLA 180"
293;20;"GLC220D"
294;6;"VOYAGE"
295;19;"FIT"
296;20;"E200"
297;18;"CALIBER"
298;18;"DURANGO"
299;4;"L300"
300;4;"N200"
301;6;"CRAFTER"
302;7;"TACOMA"
303;20;"GLB200"
304;20;"915"
305;15;"RENEGADE"
306;6;"NIVUS"
307;28;"316"
308;11;"GRANDSTAREX"
309;1;"SEPHIA"
310;15;"GRAND CHEROKEE"
311;4;"MONZA"
312;10;"LAND ROVER"
313;30;"FIORINO"
314;10;"JAC S2"
315;3;"F-150"
316;4;"CAMARO"
317;10;"MG"
318;20;"SLC200"
319;7;"LAND CRUISER"
320;6;"T5"
321;8;"NOTE"
322;5;"5"
323;20;"SLK"
324;9;"SCROSS"
325;14;"QQ311"
326;20;"B180"
327;20;"190E"
328;4;"EPICA"
329;6;"BORA"
330;30;"ARGO"
331;7;"4RUNNER"
332;5;"B2200"
333;2;"R19"
334;4;"EQUINOX"
336;28;"X6"
337;27;"EXPERT"
338;30;"500"
339;16;"COLT"
340;8;"PATROL"
341;9;"CELERIO"
342;4;"CARRY"
343;25;"TRIVOLI"
344;2;"12"
345;11;"H1"
346;10;"BRILLIENCE"
347;6;"POLO"
348;5;"CX-3"
349;2;"DUSTER"
350;0;"CITRIEN"
351;0;"CITROEN"
352;0;"CITROEN"
353;3;"EXPLORES"
354;5;"CX-5"
355;22;"GLC350"
356;5;"MX-5"
357;5;"ALLEGRO"
358;20;"GLE350"
359;10;"SEAT"
360;10;"DS3 CROSSBACK"
361;30;"PULSE"
