"ser_id";"ser_nombre";"ser_fk_empresa"
150;"CAMBIO DISCOS Y PASTILLAS FRENOS";1
151;"CAMBIO AMORTIGUADORES DELANTEROS";1
152;"REPARAR COMPRESOR";1
153;" AJUSTE SUSPENSION";1
154;"CAMBIA ACEITE MOTOR Y FILTROS";1
155;"REVISAR NIVELES GENERAL";1
156;"CAMBIO BORNES BATERIA";1
157;"VULCANIZAR SOPORTE SUPEROR MOTOR";1
158;"CAMBIO SOPORTES GENERAL";1
159;"CAMBIO RODAMIENTOS COMPRESOR";1
160;"REVISAR CABLEADO ";1
161;"REGRABAR MOTOR";1
162;"BAJAR CAJA";1
163;"CAMBIAR CLOTSH";1
164;"REVISAR FUERZA MOTOR";1
165;"REVISAR RUIDO SUSPENSION ";1
166;"REVISAR RUIDO RUEDA";1
167;"COTIZAR LLANTAS";1
168;"CAMBIO DE RETENEDORES DE LA CAJA";1
169;"REVISAR RUIDO DE SUSPENSION";1
170;"ENDEREZAR LAVAR PROTECTOR DE MOTOR";1
171;"REVISAR FILTRO AIRE ACONDICIONADO";1
172;"ARREGLAR ALTERNADOR";1
173;"SERVICIO DE PRENSA HIDRAULICA";1
174;"REVISAR SOPORTES DE MOTOR Y CAJA";1
175;"REVISION VIAJE";1
176;"REVISAR RUIDO TRASERO";1
177;"SEPILLAR CAMPANAS";1
178;"REVISAR VIBRACION MOTOR ";1
179;"REVISAR REFRIGERANTE";1
180;"ALISTAMIENTO VIAJE";1
181;"CAMBIO FILTRO AIRE";1
182;"CAMBIO TUERCAS";1
183;"BAJAR Y MONTAR CULATA";1
184;"RERCTIFICADORA";1
185;"REVISAR EXOSTO";1
186;"RESETEO COMPUTADORA";1
187;"REVISAR FRENOS GENERAL";1
188;"CAMBIO LIGAS MORDAZAS";1
189;"ARREGLO CONDENSADOR Y MANGUERAS";1
190;"CAMBIO BOBINAS Y BIJIAS";1
191;"CARGAR AIRE ACONDICIONADO";1
192;"REPARACION COMPRESOR";1
193;"RECTIFICAR CAMPANAS";1
194;"REVISAR CORREA ACCESORIOS";1
195;"SERVICIO DE ESCANER";1
196;"CAMBIO DE BOMBA COMBUSTIBLE";1
197;"REVISAR RADIADOR";1
198;"CAMBIO MENGUERA FRENOS";1
199;"DIAGNOSTICO GENERAL";1
200;"ARREGLO CONTROL DE LUCES";1
201;"CAMBIO BASES DE AMORTIGUADORES";1
202;"REVISAR VIDRIO DEL DER.";1
203;"REVISAR NIVELES CAJA";1
204;"CAMBIO SOPORTE DE MOTOR";1
205;"BOBINA ENCENDIDO";1
206;"CAMBIO DE BOBINA";1
207;"CAMBIO BANDAS ";1
208;"CAMBIO EMPAQUE  ";1
209;"REVISION GENERAL";1
210;"ARREGLO ROSCA PROTECTOR";1
211;"CAMBIO BUJES ESTABILIZADORA";1
212;"DIAGNOSTICAR DA—O POR GOLPE";1
213;"REVISAR INDICADOR DE GASOLINA";1
214;"CAMBI BOBINA";1
215;"REPARACION DE MOTOR";1
216;"SERVICIO PRENSA HIDRAULICA";1
217;"BAJAR Y MONTAR CUNA";1
218;"CORREGIR FALLA MOTOR";1
219;"CUARTO DE ASEITE";1
220;"REVISAR DOBLE";1
221;"CAMBIO DE ESPIRAL";1
222;" REVISAR SUSPENCION GENERAL";1
223;"ARREGLO ROSCA CULATA";1
224;"SERVICIO RECTIFICADORA ";1
225;"CAMBIO CAMPANAS BANDAS Y RODAMIENTOS";1
226;"CAMBIO ENFRIADOR DE ACEITE";1
227;"MANGUERA CALEFACCION";1
228;"CAMBIO KIT CLOTSH";1
229;"CAMBIO CUERPO ACELERACION";1
230;"CAMBIO PEDAL ACELERACION";1
231;"REVISAR RUIDO    ";1
232;"AJUSTE PROTECTOR";1
233;"CAMBIO PERA ACEITE";1
234;"REVISAR SISTEMA CALEFACCION ";1
235;"CAMBIO MANGUERA  ";1
236;"REVISAR SENSORES";1
237;"CAMBIO RETENEDOR LADOCAJA";1
238;"ARREGLO TAPA CARTER";1
239;"CAMBIO DE CLOTSH";1
240;"REVISAR MANGUERA TERMOSTATO";1
241;"REVISAR LUCES";1
242;"REVISAR COMPRESOR AIRE ACONDICIONADO";1
243;"RECARGAR AIRE";1
244;"CORRERGIR FAYA MOTOR";1
245;"ARREGLO COMPRESOR";1
246;"ARREGLO COMPRESOR AIRE ACONDICIONADO";1
247;"REPARACION MOTOR GENERAL CON REPUESTOS";1
248;"REVISION FRENOS GENERAL";1
249;"CAMBIO PERA DE REVERSA";1
250;"REVICION FRENOS";1
251;"CAMBIO CAJA VELOSIDADES";1
252;"CAMBIO CARDAN";1
253;"CAMBIO TRANSFER";1
254;"CAMBIO ACEITE  ";1
255;"REVICION RUIDO LADO DERECHO";1
256;"ARREGLO ALARMA";1
257;"REVISION SUSPENSION DELANTERA";1
258;"SINCRONIZACION MOTOR";1
259;"CAMBIAR AMORTIGUADORES DEL";1
260;"CUCHIYAS LIMPIABRISAS";1
261;"CAMBIO MICROMOTOR";1
262;"REVISAR PRESION ACEITE";1
263;"REVISAR CAJA";1
264;"REVISAR  VIBRACION MOTOR";1
265;"REVISAR RECALENTAMIENTO";1
266;"REVISAR CLOSH";1
267;"REVISAR RUIDO RO";1
268;"REVISAR RODAMIENTO";1
269;"CAMBIO DE AMORTIGUADORES DELANTEROS";1
270;"REVISAR RUIDO MOTOR";1
271;"CAMBIO TAPONES BLOQUE";1
272;"AJUSTE SUSPENCION ";1
273;"CAMBIO  AMORTIGUADORES TRASEROS";1
274;"CAMBIO DE AMORTIGUADORES TRASEROS";1
275;"CAMBIO RADIADOR";1
276;"CAMBIO BALINERA";1
277;"REVICION CAMBIOS";1
278;"REVASAR CORREA DE REPARTICION";1
279;"REVICION DE EMBRAGUE";1
280;"CAMBIO RETENES";1
281;"REVISAR TARRO AGUA";1
282;"REFRIGERANTE RADIADOR";1
283;"LATONERIA Y PINTURA";1
284;"REPARAR ARRANQUE";1
285;"BOBINAS CAMBIO";1
286;"FILTRO DE GASOLINA";1
287;"BANDAS TRASERAS";1
288;"CAMBIO  CAUCHOS BOBINAS";1
289;"CAMBIO INYECTORES";1
290;"LIGA PURIFICADOR";1
291;"SALDO ANTERIOR";1
292;"CAMBIO RODAMIENTOS DELANTEROS";1
293;"ARREGLO ROSCAS CULATA";1
294;"SENSOR POCICION EJE LEVAS";1
295;"SENSOR POSICION SIGUENAL";1
296;"CAMBIO RETEN SIGUEÒAL";1
297;"CAMBIO SENSOR VELOSIDAD";1
298;"REVISAR BOMBA AGUA";1
299;"REVISAR TEMPERATURA";1
300;"REVISAR MINIMA";1
301;"REVISION DE 30000 KMS";1
302;"CAMBIO MUNECOS";1
303;"CAUCHO BOBINA";1
304;"INYECTOR CAMBIO";1
305;"CAMBIO CULATA";1
306;"CAMBIO MANGERA";1
307;"ARREGLO COMPUTADOR";1
308;"REVISAR SISTEMA ELECTRICO";1
309;"REVISAR VUJIAS";1
310;"MTO 30 MIL KILOMETROS";1
311;"REVISAR FUGA AGUA";1
312;"BASE TERMOSTATO";1
313;"GALON REFRIGERANTE";1
314;"MANGUERA ADMISION";1
315;"REVISAR  FALLA MOTOR";1
316;"ARREGLO EXOSTO";1
317;"CAMBIO CAJA DIRECCION";1
318;"REVISAR POLEA";1
319;"VALVULA PSB";1
320;"CAMBIO ACEITE HIDRAULICO";1
321;"CAMBIO TRANSMISION";1
322;"CAMBIO PULPO";1
323;"CAMBIO PULPO";1
324;"RFFRIGERANTE RADIADOR";1
325;"REVISAR ARRANQUE";1
326;"REVISAR RUIDO EJE";1
327;"CAMIO SOPORTE CAJETIN";1
328;"CAMBIO DE EMPAQUE CARTER";1
329;"CAMBIO RETEN CONTROL CAMBIOS";1
330;"CALIBRADA DE FRENOS TRASEROS";1
331;"ALINEACION Y BALANSEO";1
332;"CAMBIO BOMBA ACEITE ";1
333;"BOMBA ACEITE";1
334;"REVISAR EXPLORADORAS";1
335;"TIJERA ORIGINAL";1
336;"ALINEASION Y BALANSEO";1
337;"CAMBERES";1
338;"ARREGLO ROSCAS BABERO";1
339;"SONDEAR RADIADOR";1
340;"CAMBIO CAUCHOS BOBINAS";1
341;"REVISAR MASAS";1
342;"ALINEASION Y BALANSAO";1
343;"CAMBIO CULATA";1
344;"ASEITE CAJA";1
345;"CAMBIO FIL TRO AIRE ACONDIC";1
346;"CAMBIO SENSOR HIDRAULICO";1
347;"CAMBIO BRAZO AXIAL";1
348;"ARREGLO PIANOLA";1
349;"CAMBIO MUELLE";1
350;"RECTIFICAR CULATA";1
351;"VALVULAS ";1
352;"GUIAS";1
353;"EMP MOTOR";1
354;"BARSOL";1
355;"PINONES EJE LEVAS";1
356;"CAMBIO CACHOS";1
357;"CAMBIO EJES";1
358;"ASEGURAR BABERO";1
359;"REVISAR AGUA LAVAVIDRIOS";1
360;"CAMBIO PATIN TENSOR";1
361;"COLOCAR CORREA";1
362;"CAMBERES TRASEROS";1
363;"REVICION CAJA DIRECCCION";1
364;"CANBIOO VENTILADOR";1
365;"CAMBIO GUARDAPOLBO EJE";1
366;"CAMBIO FILTRO GASOLINA";1
367;"ANILLAR MOTOR";1
368;"CONECTAR COMPUTADORA";1
369;"CAMBER RUEDA DERECHA";1
370;"CAMBIO EXOSTO";1
371;"CAMBIO FILTRO ACEITE";1
372;"REVISAR CONTROL CAMBIOS";1
373;"REVISAR FUGA DE AGUA";1
374;"ALISTAMIENTO TECNOMECANICA";1
375;"REVISION 100000";1
376;"CAMBIO RODAMIENTO DERECHO";1
377;"CAMBIO ACEITE MOTOR";1
378;"CAMBIO  CORREA REPARTICION";1
379;"REVISAR LUBRICACION MOTOR";1
380;"EMPACAR  CAJA DIRECCION";1
381;"REVICION SONRROUND";1
382;"SCANNER";1
383;"CAMBIO PLUMILLAS";1
384;"CAMBIO UNION MANGERAS";1
385;"YNYECTOR";1
386;"REVISAR FALLA DE MOTOR";1
387;"REVISAR BOMBA FUGA";1
388;"CAMBIO AMORTIGUADOR CAPOT";1
389;"REVISAR VIDRIO DEL DERECHO";1
390;"CAMBERES POR 4";1
