"pr_id";"pr_fk_marca";"pr_nombre";"pr_cantidad";"pr_codigo";"pr_activos";"pr_salida";"pr_valor";"pr_adquisicion";"pr_fk_empresa"
68;10;"FILTRO DE AIRE MASTER MFA 560";0;"7709783233218";0;0;1.0;1.0;1
69;10;"FILTRO DE AIRE MASTER MFA 698";0;"7709783235342";0;0;1.0;1.0;1
70;10;"FILTRO DE AIRE TECNIFIL TFA2252";0;"TFA2252";0;0;1.0;1.0;1
71;10;"FILTRO DE AIRE ESP FILTERS A0461S";0;"A0461S";0;0;1.0;1.0;1
72;10;"FILTRO DE AIRE ESP A0391S";0;"A0391S";0;0;1.0;1.0;1
73;11;"FILTRO DE AIRE HYUNDAI ION - TETE";0;"1";0;0;1.0;1.0;1
74;10;"FILTRO DE AIRE GTEK 2AIX35";0;"2AIX35";0;0;1.0;1.0;1
75;10;"FILTRO DE AIRE MASTER MFA 581P";0;"7709783233621";0;0;1.0;1.0;1
76;10;"FILTRO DE AIRE MASTER MFA 745P";0;"7709783235984";0;0;1.0;1.0;1
77;10;"FILTRO DE AIRE MASTER MFA 558";0;"7709783233188";0;0;1.0;1.0;1
78;10;"FILTRO DE AIRE MASTER MFA 648";0;"648";0;0;1.0;1.0;1
79;10;"FILTRO DE AIRE MASTER MFA 659P";0;"659P";0;0;1.0;1.0;1
80;10;"FILTRO DE AIRE MASTER MFA 506";0;"7709783232136";0;0;1.0;1.0;1
81;10;"FILTRO DE AIRE MASTER MFA 659P";0;"659P";0;0;1.0;1.0;1
82;10;"FILTRO DE AIRE MASTER MFA 657P";0;"7709783234604";0;0;1.0;1.0;1
83;10;"FILTRO DE ACEITE ACDELCO 19279742";0;"19279742";0;0;1.0;1.0;1
84;10;"FILTRO DE AIRE TECNIFIL MFA595";0;"595";0;0;1.0;1.0;1
85;10;"FILTRO DE AIRE MASTER MFA 747";0;"7709783236059";0;0;1.0;1.0;1
86;10;"FILTRO DE AIRE MASTER MFA 744";0;"744";0;0;1.0;1.0;1
87;10;"FILTRO DE ACEITE NIBA PARTS 17331";0;"17331";0;0;1.0;1.0;1
88;10;"FILTRO DE AIRE CARBURADOR CHEVROLET SWIFT";0;"1";0;0;1.0;1.0;1
89;10;"FILTRO DE AIRE INYECCION SWIFT";0;"1";0;0;1.0;1.0;1
90;10;"FILTRO DE ACEITE AIP793";0;"aip-793.";0;0;1.0;1.0;1
91;10;"FILTRO DE AIRE CHEVROLET CRUZE";0;"1";0;0;1.0;1.0;1
92;10;"FILTRO DE AIRE OPTRA";0;"1";0;0;1.0;1.0;1
93;10;"FILTRO DE AIRE MFA 739";0;"1";0;0;1.0;1.0;1
94;10;"FILTRO DE AIRE SONIC MFA 736";0;"1";0;0;1.0;1.0;1
95;10;"FILTRO DE AIRE CORSA EVOLUTION";0;"1";0;0;1.0;1.0;1
96;10;"FILTRO DE AIRE MASTER MFA 670P AVEO";0;"7709783234871";0;0;1.0;1.0;1
97;10;"FILTRO DE AIRE MASTER MFA 547";0;"7709783232976";0;0;1.0;1.0;1
98;10;"FILTRO DE AIRE MASTER MFA 581P SPARK - MATIZ";0;"581P";0;0;1.0;1.0;1
99;10;"FILTRO DE AIRE MASTER MFA 523P";0;"523P";0;0;1.0;1.0;1
100;10;"FILTRO DE AIRE CHEVROLET ASTRA Y ZAFIRA";0;"MFA534";0;0;1.0;1.0;1
101;10;"JUEGOS DE BANDAS ACDELCO";0;"1";0;0;1.0;1.0;1
102;10;"FILTRO DE AIRE MASTER MFA 531P";0;"531P";0;0;1.0;1.0;1
103;10;"FILTRO DE AIRE MASTER MFA 724";0;"724";0;0;1.0;1.0;1
104;10;"FILTRO DE AIRE CHEVROLET CAPTIVA";0;"1";0;0;1.0;1.0;1
105;10;"FILTRO DE AIRE MAZDA 323 CARBURADOR";0;"1";0;0;1.0;1.0;1
106;10;"FILTRO DE AIRE MASTER MFA 592";0;"7709783233836";0;0;1.0;1.0;1
107;10;"FILTRO DE AIRE CHEVROLET SAIL A0507S";0;"A0507S";0;0;1.0;1.0;1
108;10;"FILTRO DE AIRE MASTER MFA 536P";0;"7709783232747";0;0;1.0;1.0;1
